Topic,Size,Total Domestic Gross,Total Worldwide Gross
Dog Sledding,4,"$11,750,674 ","$11,977,229 "
Drowning,4,"$195,131 ","$1,752,031 "
Drunk Driver,4,"$4,944,305 ","$10,434,225 "
Dubbed with New Dialogue,4,"$115,708,622 ","$116,708,622 "
Elvis Impersonators,4,"$37,511,409 ","$38,476,540 "
Experimental Treatments,4,"$6,940 ","$1,003,344 "
Fairy Godmother,4,"$399,380,958 ","$1,108,197,848 "
Famine,4,"$269,995 ","$57,336,637 "
Feudal Japan,4,"$57,256,239 ","$149,182,980 "
Filicide or Infanticide,4,"$57,176,981 ","$129,900,453 "
"Filmed in Culver City, CA",4,"$1,639,171,253 ","$3,539,094,292 "
"Filmed in Fayette County, GA",4,"$2,335,085,932 ","$6,863,372,709 "
Filmed in France,4,"$1,551,124,993 ","$3,515,097,255 "
Filmed in Ireland,4,"$2,072,046,149 ","$4,470,962,195 "
Filmed in Jordan,4,"$1,805,050,952 ","$4,011,517,753 "
"Filmed in Leavesden Studios, Hertfordshire, England",4,"$1,658,833,327 ","$4,310,715,087 "
"Filmed in Long Beach, CA",4,"$1,706,442,552 ","$4,896,882,788 "
"Filmed in New Jersey, United States",4,"$1,665,451,101 ","$3,914,835,498 "
"Filmed in New Mexico, United States",4,"$1,025,469,780 ","$2,351,619,910 "
"Filmed in Paris, France",4,"$1,551,124,993 ","$3,515,097,255 "
Filmed in Pinewood Atlanta Studios,4,"$2,335,085,932 ","$6,863,372,709 "
"Filmed in Queens, New York, NY",4,"$1,846,578,427 ","$4,792,164,100 "
"Filmed in Shepperton Studios, Surrey, England",4,"$1,804,288,617 ","$4,276,639,175 "
"Filmed in Wadi Rum, Jordan",4,"$1,805,050,952 ","$4,011,517,753 "
Fourth of July,4,$0 ,$0 
Freedom Fighters,4,"$4,227,969 ","$6,978,593 "
Freeze Frame,4,"$142,280,333 ","$270,142,069 "
Genie or Djinn,4,"$217,379,103 ","$504,202,142 "
Girls' Night Out,4,"$228,365,812 ","$321,396,831 "
Gold Digger,4,"$97,223 ","$12,945,994 "
Greek Mythology,4,"$412,563,408 ","$818,058,221 "
Grieving Parents,4,"$2,237,507 ","$6,223,253 "
Guru,4,"$1,653,867 ","$2,241,284 "
Historian,4,"$4,390,916 ","$9,611,611 "
Hotel,4,"$45,797,293 ","$57,310,648 "
Inuit,4,"$656,242 ","$656,242 "
Investment Banking,4,"$9,050,920 ","$26,475,277 "
Keeping Up with the Joneses,4,"$20,443,677 ","$53,407,919 "
Killer Nuns,4,"$26,594,496 ","$46,690,143 "
LAPD,4,"$122,164,643 ","$223,164,643 "
Left for Dead,4,"$183,672,260 ","$532,972,668 "
Lost At Sea,4,"$62,802,560 ","$158,050,435 "
Maid,4,"$96,883,629 ","$197,413,559 "
Maori,4,"$72,764 ","$11,080,602 "
Marriage Counselors,4,"$52,735,359 ","$53,998,363 "
Meteorite,4,"$20,100,177 ","$20,234,307 "
Mexploitation,4,"$36,004,863 ","$73,976,774 "
Middle Ages,4,"$40,822,241 ","$141,277,511 "
Midquel,4,"$113,203,870 ","$314,355,920 "
Military Stealing New Invention,4,"$665,222,644 ","$1,682,895,986 "
Mining,4,$0 ,$0 
Miracle,4,"$2,238,933 ","$2,512,435 "
Miscellaneous Reunion,4,"$4,586 ","$1,414,150 "
Motivational Speaker,4,"$3,200,487 ","$115,926,201 "
NASA,4,"$70,014,733 ","$70,036,123 "
Nobel Prize,4,"$62,344,455 ","$87,996,198 "
One-Actor Show,4,"$7,634,316 ","$12,475,204 "
Online Dating,4,"$19,836 ","$28,176 "
Pastor,4,"$5,845,204 ","$5,845,204 "
Philosopher,4,"$363,496 ","$388,244 "
Police State,4,"$358,101 ","$365,065 "
Preacher,4,"$48,412,979 ","$48,412,979 "
Propaganda,4,"$3,658,818 ","$16,054,922 "
Public Relations,4,"$28,369,536 ","$41,036,953 "
Romance during Wartime,4,"$710,402 ","$885,985 "
Rugby,4,$0 ,"$1,601,684 "
Runaway Train,4,"$89,508,280 ","$174,063,561 "
Satan,4,"$234,650 ","$1,051,928 "
School Competition,4,"$3,622,936 ","$3,710,125 "
Scotland Yard,4,"$128,101,377 ","$372,509,167 "
Search for Extraterrestrial Life,4,"$180,311,391 ","$403,531,714 "
Set in Austria,4,"$33,388,863 ","$59,925,920 "
Set in Columbia,4,"$534,364 ","$16,588,352 "
Set in Congo,4,"$17,746 ","$399,929 "
Set in Iowa,4,"$56,220 ","$1,436,573 "
Set in Jamaica,4,"$35,632 ","$1,551,484 "
"Set in Kentucky, United States",4,"$2,864,783 ","$4,546,666 "
Set in Lebanon,4,"$2,660,746 ","$68,537,392 "
Set in Mediterranean Sea,4,"$129,054 ","$22,070,410 "
Set in Minnesota,4,"$70,188,739 ","$70,192,107 "
Set in Morocco,4,"$11,353 ","$1,626,821 "
"Set in Oakland, CA",4,"$37,983,642 ","$40,878,713 "
Set in Ohio,4,"$120,390,531 ","$188,341,821 "
Set in Peru,4,"$43,904 ","$70,327 "
"Set in Pittsburgh, PA",4,"$119,379,340 ","$132,689,219 "
Set in Queens NY,4,"$1,154,726 ","$3,069,956 "
Set in Singapore,4,"$174,621,559 ","$238,868,373 "
"Set on Long Island, NY",4,"$248,746 ","$401,647 "
Sex Change,4,"$11,118,502 ","$71,954,027 "
Sexual Predator,4,"$56,073,633 ","$102,573,633 "
Sheriff,4,"$71,210,230 ","$71,294,810 "
Shut In,4,"$34,402,696 ","$62,504,212 "
Sign Language,4,"$188,024,361 ","$335,205,231 "
Slums / Shantytown,4,"$68,923 ","$8,258,342 "
Solitary Confinement,4,"$73,415,049 ","$131,217,103 "
Space Colonization,4,"$134,198,352 ","$315,959,696 "
Submarine,4,"$15,801,864 ","$34,951,532 "
Sugar Daddy,4,"$9,551,904 ","$9,682,481 "
Suicide Pact,4,"$35,833,852 ","$70,202,665 "
Survival Adventure,4,"$423,533,706 ","$970,631,247 "
Survivor's Guilt,4,"$101,802,906 ","$411,002,906 "
Sweden,4,"$31,059,439 ","$54,576,749 "
Talk Show,4,"$625,727 ","$636,845 "
Talking Babies,4,"$315,091,846 ","$825,160,036 "
Texas Ranger,4,"$27,007,844 ","$37,584,304 "
Toys,4,"$129,270 ","$8,758,030 "
Tricked into a Relationship,4,"$55,751,560 ","$78,031,219 "
Voice Actor,4,"$4,401,930 ","$4,475,069 "
Waking Up in an Unknown Location,4,"$254,550,132 ","$589,878,777 "
Wild West,4,"$28,611 ","$115,515 "
1000s,3,"$1,118,346 ","$13,115,691 "
1840s,3,"$286,589 ","$5,097,910 "
Accidental Engagement or Marriage,3,"$357,600,908 ","$684,102,196 "
Accidental Incest,3,"$2,193,658 ","$3,343,567 "
Accidental Shooting,3,"$22,375,153 ","$29,639,470 "
Accountants,3,"$87,184,628 ","$297,342,700 "
Alternate Reality Game,3,"$404,508,916 ","$961,230,193 "
Ambush,3,"$318,162,749 ","$703,207,252 "
Amish,3,"$90,556,000 ","$97,756,000 "
Anger Management Issues,3,"$13,883,292 ","$45,663,160 "
Animated Shorts,3,"$508,695 ","$529,865 "
Art Predicting Life,3,"$58,060,610 ","$159,060,610 "
Art World,3,$0 ,"$159,882 "
Astrophysics,3,"$44,948,664 ","$105,715,444 "
Audition,3,"$15,687,933 ","$87,223,192 "
Based on a Fake Trailer,3,"$27,297,018 ","$47,205,923 "
Big Band,3,"$29,165,915 ","$31,356,888 "
Blood Diamonds,3,"$81,527,548 ","$231,815,643 "
Bubonic Plague / Black Death,3,"$531,381,825 ","$1,386,962,001 "
Burlesque,3,$0 ,$0 
Busking,3,"$306,033 ","$9,389,915 "
Child Star,3,"$2,309,986 ","$2,309,986 "
Children Trying to Reunite Divorced Parents,3,"$140,000,095 ","$378,712,972 "
Christian Contemporary Music,3,"$12,804,729 ","$19,037,234 "
Corporations vs. Mom and Pop Store,3,"$120,881,103 ","$255,986,455 "
Death of a Mentor,3,"$64,498,922 ","$133,233,223 "
Deep in Debt,3,$0 ,"$10,390 "
Dentist,3,"$57,262,492 ","$89,430,663 "
Doctor as Patient,3,"$63,131 ","$421,728 "
Dreams Becoming Real,3,"$73,121 ","$5,010,798 "
Dying Wish,3,"$5,372,108 ","$67,439,516 "
Entertainment Industry,3,"$216,303,339 ","$895,453,201 "
Failing Business,3,"$11,947 ","$11,947 "
Fake Psychics,3,"$35,293,252 ","$85,983,694 "
Faked Pregnancies,3,"$338,454,707 ","$674,507,148 "
Fictional Country,3,"$700,139,700 ","$1,336,763,758 "
"Filmed in Berkshire, England",3,"$1,709,941,201 ","$4,420,730,323 "
Filmed in China,3,"$1,295,103,762 ","$3,338,620,770 "
"Filmed in County Kerry, Ireland",3,"$2,072,046,149 ","$4,470,962,195 "
"Filmed in Downtown Los Angeles, CA",3,"$1,130,237,880 ","$3,133,583,641 "
"Filmed in Elstree Studios, Hertfordshire, England",3,"$1,373,445,908 ","$2,679,532,482 "
"Filmed in Florida, United States",3,"$1,183,168,098 ","$3,325,401,219 "
"Filmed in Hollywood, CA",3,"$1,185,040,105 ","$3,055,662,864 "
"Filmed in Hong Kong, China",3,"$886,111,490 ","$2,123,228,498 "
"Filmed in Hughes Aircraft studio, Playa Vista, CA",3,"$1,821,983,439 ","$5,833,207,581 "
Filmed in Iceland,3,"$1,876,923,898 ","$4,272,532,203 "
"Filmed in Kualoa Ranch, Oahu, HI",3,"$1,224,752,024 ","$3,315,137,233 "
"Filmed in Pennsylvania, United States",3,"$1,473,608,879 ","$3,433,848,017 "
"Filmed in Playa Vista, CA",3,"$1,821,983,439 ","$5,833,207,581 "
"Filmed in Skellig Michael, Ireland",3,"$2,072,046,149 ","$4,470,962,195 "
"Filmed in Sony Pictures Studios, Culver City, CA",3,"$1,204,060,699 ","$2,746,131,320 "
Filmed in South Africa,3,"$1,159,065,434 ","$2,732,593,523 "
Filmed in United Arab Emirates,3,"$1,290,462,770 ","$3,628,406,218 "
Filmed in Wales,3,"$829,332,256 ","$2,424,289,314 "
Filmed in Walt Disney Animation Studios Burbank CA,3,"$1,301,642,399 ","$3,781,749,650 "
First Amendment,3,"$20,252,579 ","$20,252,579 "
Formula 1,3,"$1,612,430 ","$11,603,407 "
Found footage horror,3,"$197,402,190 ","$353,757,219 "
Gardener / Gardening,3,"$62,734 ","$173,698 "
Gay Conversion Therapy,3,"$6,788,692 ","$11,862,650 "
Genre Mashup,3,"$117,542,769 ","$159,705,553 "
Gladiators,3,"$338,227,322 ","$958,964,920 "
Gold Rush,3,"$62,342,368 ","$107,365,720 "
Grunge Rock,3,"$611,542 ","$2,431,530 "
Guerilla Warfare,3,"$44,811,719 ","$61,569,086 "
Health Spa,3,"$8,169,698 ","$31,853,170 "
Hitman Falling In Love with their Target,3,"$38,835,833 ","$592,969,202 "
Humanitarian Aid,3,"$5,002 ","$4,715,187 "
Imaginary Friend,3,"$79,152,741 ","$203,952,202 "
Implanted Memory,3,"$40,744,165 ","$168,135,535 "
Independent Filmmaking,3,"$6,015 ","$6,015 "
Indigenous People,3,"$507,259 ","$2,635,897 "
Interior Designer,3,"$54,747 ","$54,747 "
Interracial Child,3,"$491,528 ","$543,101 "
KGB,3,"$48,852,936 ","$126,339,464 "
Ku Klux Klan,3,"$59,482,896 ","$103,682,115 "
Leprechaun,3,"$8,840,453 ","$31,164,747 "
Lifeguard,3,"$59,465,054 ","$189,602,286 "
Live Action Shorts,3,"$508,695 ","$529,865 "
Lottery,3,"$1,296,610 ","$198,960,656 "
Marriage Proposal,3,"$15,162,654 ","$181,351,249 "
MI6,3,"$244,256,935 ","$970,065,123 "
Military Drones,3,"$317,072 ","$1,278,413 "
Mugging,3,"$26,799 ","$449,062 "
Musical Theater,3,$0 ,"$2,074,433 "
Nanny,3,"$196,800,968 ","$383,417,802 "
Native American Folklore,3,"$54,724,696 ","$111,809,732 "
Nazi Collaborators,3,"$177,500 ","$3,380,175 "
Nazi Treasure,3,"$8,867,693 ","$35,249,877 "
Nollywood,3,$0 ,"$7,573 "
Nuclear War,3,"$12,101 ","$19,807,036 "
NYPD,3,"$98,879,550 ","$147,215,678 "
Off the Wagon / Relapse,3,"$7,634,767 ","$13,314,562 "
Ouija Board,3,"$6,497 ","$331,881 "
Out of Body Experience,3,"$54,043,511 ","$100,143,435 "
Philanthropist,3,"$433,924 ","$2,584,952 "
Philosophy,3,"$1,893,327 ","$2,347,490 "
Phone Sex,3,"$2,266,256 ","$27,801,961 "
Pickpocket,3,"$140,497 ","$17,203,488 "
Police Custody,3,"$137,765 ","$15,220,310 "
Political Extremism,3,"$76,038 ","$2,268,537 "
Pregnancy Scare,3,"$3,420,713 ","$5,580,671 "
Prison Riot,3,"$225,764,765 ","$1,237,793,939 "
Punjabi,3,"$758,868 ","$13,161,355 "
Quarantine,3,"$32,252,532 ","$64,509,993 "
Raised By Wild Animals,3,"$535,092,942 ","$1,401,746,237 "
RCMP / Mounties,3,"$30,617,396 ","$31,575,635 "
Recluse,3,"$124,926,079 ","$307,253,387 "
Red Scare,3,"$23,159,305 ","$31,333,917 "
Reform School,3,"$26,144 ","$4,157,267 "
Role Playing Games,3,"$9,417 ","$9,417 "
Runaway Slave,3,"$43,190,265 ","$43,356,484 "
Santa Claus Impersonators,3,"$17,870,136 ","$31,338,634 "
Scientific Breakthrough,3,"$4,785,089 ","$8,168,624 "
Search and Rescue,3,"$57,960,944 ","$98,294,651 "
Search for Birth Parent,3,"$157,920 ","$2,635,459 "
Second Chance,3,"$95,505 ","$95,505 "
Set in Algeria,3,"$14,361 ","$1,145,034 "
Set in Bangkok,3,"$569,688 ","$135,850,329 "
Set in Barcelona,3,$0 ,"$20,452 "
Set in Bulgaria,3,"$60,650 ","$247,359 "
"Set in Cairo, Egypt",3,"$61,051,990 ","$75,051,990 "
Set in Coney Island,3,"$39,732,028 ","$75,819,061 "
Set in Costa Rica,3,$0 ,$0 
"Set in Edinburgh, Scotland",3,"$400,530 ","$452,372 "
Set in Indiana,3,"$72,138 ","$72,790 "
Set in Libya,3,"$52,853,219 ","$69,411,370 "
Set in Panama,3,"$18,572 ","$19,250 "
Set in Rio de Janeiro,3,"$31,982 ","$52,576 "
Set in Romania,3,"$117,498,627 ","$363,468,041 "
Set in Siberia,3,"$408,084,349 ","$1,153,488,512 "
"Set in Sydney, Australia",3,"$215,428,127 ","$550,941,357 "
Set in Tel Aviv,3,"$726,603 ","$2,388,350 "
Set in Tunisia,3,"$40,191 ","$205,514 "
Set in Vatican City,3,"$6,945,204 ","$19,389,319 "
Set in Vienna,3,"$66,869,862 ","$135,696,364 "
"Set in Washington, United States",3,"$4,010,957 ","$4,422,318 "
Set in Wyoming,3,"$87,918,275 ","$197,614,703 "
Set in Yukon,3,"$62,474,737 ","$107,493,305 "
Sex Tape,3,$0 ,$0 
Shrinking,3,"$261,666,649 ","$600,322,935 "
Social Justice,3,"$71,822,507 ","$78,668,929 "
Social Sciences,3,"$155,575 ","$246,853 "
Sole Survivor,3,"$252,962 ","$4,322,787 "
Speed Dating,3,"$109,452,631 ","$176,280,233 "
Stockholm Syndrome,3,"$579,391 ","$579,391 "
Sudden Illness,3,"$2,032,891 ","$3,824,457 "
Support Group,3,"$38,263 ","$38,263 "
Séance,3,"$56,069,708 ","$93,589,125 "
Taiwan,3,"$91,863 ","$7,317,120 "
Take This Job and Shove It,3,"$36,838 ","$36,838 "
Taking the Rap,3,"$22,761,662 ","$28,430,173 "
Talent Agent,3,$0 ,"$247,123 "
Transferring Consciousness,3,"$44,498,278 ","$154,726,411 "
Valentine's Day,3,"$34,379,865 ","$73,158,658 "
Ventriloquism,3,"$23,800,000 ","$23,800,000 "
Victorian Age,3,"$22,245,070 ","$70,445,714 "
Watching a Fictionalized Version of Yourself,3,"$58,857,738 ","$120,098,813 "
Wedding Crashers,3,"$313,615,470 ","$387,685,201 "
Weightlifting,3,$0 ,$0 
Wheelchair Hoax,3,"$16,437,117 ","$262,499,535 "
Witch Doctor,3,"$50,400 ","$50,400 "
Zoos,3,"$19,612,818 ","$43,184,878 "
A Cappella,2,"$249,297,323 ","$403,669,815 "
Adult Child of Divorce,2,"$83,882 ","$3,657,538 "
Air Race,2,"$15,589,562 ","$21,078,034 "
Albino,2,"$43,986,846 ","$44,175,596 "
Animal Hybrids,2,"$75,165,231 ","$209,665,231 "
Arab Spring,2,"$125,332 ","$177,350 "
Arson,2,"$77,868,585 ","$152,368,585 "
Auction,2,"$83,520 ","$83,520 "
Bad Trip,2,"$22,680,962 ","$24,949,812 "
Based on a Painting,2,"$312,187 ","$312,187 "
Bed and Breakfast,2,$0 ,$0 
Biologist,2,"$12,119 ","$23,715 "
Birth Defects,2,"$132,422,809 ","$312,755,215 "
Boy Band,2,"$9,496,130 ","$9,537,120 "
Brainwashing,2,"$65,955,739 ","$96,142,900 "
British Empire,2,"$22,245,070 ","$68,271,146 "
Bucket List,2,$0 ,"$223,824 "
Burglary,2,"$3,424,744 ","$4,781,638 "
Cabbie,2,$0 ,"$1,124 "
Cabin Fever,2,"$33,811,091 ","$45,008,484 "
Career-Ending Injury,2,"$46,874,505 ","$146,228,987 "
Cartography,2,"$32,893 ","$8,429,991 "
Catfishing,2,"$57,728,259 ","$108,680,106 "
Charities,2,"$478,476 ","$543,903 "
Child Bride,2,"$108,817 ","$180,513 "
Child Labor,2,"$1,034 ","$231,396 "
Chimpanzees,2,"$438,468 ","$1,610,817 "
Chinese New Year,2,"$156,583 ","$26,461,976 "
Codebreaker,2,"$91,171,226 ","$229,648,652 "
Confessional,2,$0 ,"$1,815,670 "
Conjoined Twins,2,$0 ,"$309,584 "
Coroner,2,"$36,446 ","$6,278,756 "
Corporate Espionage,2,"$157,168 ","$31,127,567 "
Crime Spree,2,"$442,113 ","$459,549 "
Cultural Revolution,2,"$590,223 ","$118,584,841 "
Curling,2,"$4,239,767 ","$4,239,767 "
Cut from Older Movies,2,"$34,229,726 ","$35,229,726 "
Dating After the Death of a Romantic Partner,2,"$68,687,394 ","$91,449,561 "
Death of a Boss,2,"$363,101 ","$363,101 "
Death of a Teammate,2,"$10,230,620 ","$10,279,655 "
Demoted,2,"$36,108,758 ","$72,418,922 "
Deprogramming,2,$0 ,"$54,608 "
Disco,2,"$22,762,571 ","$22,762,571 "
Dishonorable Discharge,2,"$148,164,842 ","$1,362,844,886 "
Documentary Shorts,2,$0 ,"$21,170 "
Door to Door Salesman,2,"$103,494 ","$401,646 "
Drone Warfare,2,"$10,656 ","$10,656 "
Exonerated,2,"$11,031 ","$11,031 "
Failed Movie Production,2,"$1,381,026 ","$3,086,857 "
Faith Healer,2,$0 ,"$273,502 "
Fake Cop,2,"$82,710,059 ","$137,721,474 "
Fake Lost Film,2,"$104,526 ","$104,526 "
False Flag Operation,2,"$72,728,366 ","$162,774,042 "
Fencing,2,"$95,951 ","$673,258 "
Filmed in Abu Dhabi,2,"$1,289,669,245 ","$3,582,657,793 "
"Filmed in Arizona, United States",2,"$755,118,890 ","$2,353,699,408 "
"Filmed in Beijing, China",2,"$408,992,272 ","$1,215,392,272 "
"Filmed in Beverly Hills, CA",2,"$777,230,860 ","$1,616,403,932 "
"Filmed in Brooklyn, New York, NY",2,"$764,056,570 ","$1,925,917,202 "
"Filmed in Clayton County, GA",2,"$742,820,121 ","$2,386,292,810 "
"Filmed in Columbia University, New York, NY",2,"$777,230,860 ","$1,616,403,932 "
"Filmed in Commodore Schuyler F. Heim Bridge, Long Beach, CA",2,"$644,966,738 ","$1,852,376,544 "
"Filmed in Essex, England",2,"$803,095,493 ","$1,949,277,866 "
"Filmed in Flatiron Building, New York, NY",2,"$777,230,860 ","$1,616,403,932 "
"Filmed in Glasgow, Scotland",2,"$1,126,954,581 ","$3,126,768,630 "
"Filmed in Glendale, CA",2,"$863,011,530 ","$1,921,468,846 "
"Filmed in Greystone Mansion, Beverly Hills, CA",2,"$777,230,860 ","$1,616,403,932 "
"Filmed in Gwinnett County, GA",2,"$761,091,369 ","$2,669,098,230 "
"Filmed in Hampshire, England",2,"$876,725,628 ","$2,704,433,207 "
"Filmed in Hatfield House, Hertfordshire, England",2,"$803,095,493 ","$1,949,277,866 "
"Filmed in Hawley Woods, Hampshire, England",2,"$876,725,628 ","$2,704,433,207 "
"Filmed in Illumination Mac Guff Studios, Paris, France",2,"$736,449,715 ","$1,860,519,335 "
"Filmed in Kauai, HI",2,"$1,054,793,973 ","$2,715,517,002 "
"Filmed in Kawela Beach, Oahu, HI",2,"$829,176,963 ","$1,826,098,240 "
"Filmed in Kent, England",2,"$871,569,276 ","$2,214,157,423 "
"Filmed in LaSalle Street, Chicago, IL",2,"$886,111,490 ","$2,123,228,498 "
"Filmed in Longcross Studios, Surrey, England",2,"$975,740,598 ","$2,379,458,123 "
"Filmed in Louisiana, United States",2,"$1,079,100,464 ","$2,799,671,355 "
"Filmed in Matera, Italy",2,"$783,346,338 ","$1,440,371,856 "
Filmed in Mexico,2,"$659,363,944 ","$2,207,986,545 "
"Filmed in New Orleans, LA",2,"$1,079,100,464 ","$2,799,671,355 "
Filmed in New Zealand,2,"$1,138,353,530 ","$3,908,925,383 "
"Filmed in Norcross, GA",2,"$761,091,369 ","$2,669,098,230 "
"Filmed in North Carolina, United States",2,"$817,002,964 ","$1,893,315,651 "
"Filmed in Oregon, United States",2,"$389,813,101 ","$869,113,101 "
Filmed in Puerto Rico,2,"$408,084,349 ","$1,151,918,521 "
"Filmed in San Francisco, CA",2,"$774,363,944 ","$2,347,986,545 "
"Filmed in Sears Tower, Chicago, IL",2,"$886,111,490 ","$2,123,228,498 "
Filmed in South Korea,2,"$1,159,065,434 ","$2,732,593,523 "
Filmed in Spain,2,"$390,532,085 ","$1,133,968,408 "
"Filmed in St Pancras International Railway Station, London, England",2,"$771,725,242 ","$2,465,612,189 "
"Filmed in Stone Street Studios, Wellington, New Zealand",2,"$1,138,353,530 ","$3,908,925,383 "
"Filmed in The Gulch, Atlanta, GA",2,"$1,266,457,349 ","$3,949,719,085 "
"Filmed in Tozeur, Tunisia",2,"$935,542,684 ","$1,802,442,684 "
"Filmed in Trump International Hotel and Tower, Chicago, IL",2,"$886,111,490 ","$2,123,228,498 "
"Filmed in Tudor City, New York, NY",2,"$777,230,860 ","$1,616,403,932 "
Filmed in Tunisia,2,"$935,542,684 ","$1,802,442,684 "
"Filmed in Universal Studios, Hollywood, CA",2,"$827,191,395 ","$1,910,441,082 "
"Filmed in Warner Bros. Studios, Burbank, CA",2,"$806,229,723 ","$1,867,279,410 "
"Filmed in Wellington, New Zealand",2,"$1,138,353,530 ","$3,908,925,383 "
Flashback to Previous Movie in the Franchise,2,"$193,754,622 ","$520,625,396 "
French Resistance,2,"$111,234 ","$3,225,714 "
Gaslighting,2,"$119,182,300 ","$233,256,691 "
Genius,2,"$18,957 ","$26,889 "
Government Massacre or Democide,2,"$210,086 ","$5,559,551 "
Haiti,2,$0 ,"$165,801 "
High School Sweethearts,2,$0 ,"$55,369 "
Higher Education,2,"$16,165 ","$17,715,493 "
Hiking,2,"$5,123 ","$5,123 "
History of Cinema,2,"$150,170 ","$190,944 "
Homeschooling,2,"$12,431,752 ","$37,756,112 "
Humans as Monsters,2,"$105,913,443 ","$236,355,413 "
Humans as Pets,2,"$156,482,546 ","$367,169,531 "
Hunger Strike,2,"$4,722,170 ","$34,064,659 "
Hunting Accident,2,"$64,537 ","$983,872 "
Hypochondriac,2,$0 ,"$50,376,278 "
Illiteracy / Learning to Read,2,"$30,362,870 ","$86,142,192 "
Impersonating a Police Officer,2,"$549,550 ","$117,170,964 "
Insomnia,2,"$111,050,447 ","$172,600,976 "
Inspirational Speaker,2,$0 ,$0 
Interpreter,2,"$72,721,670 ","$162,831,912 "
Intersex,2,"$46,011 ","$5,432,863 "
Invisibility,2,"$223,022 ","$3,423,022 "
IRS,2,"$44,231,089 ","$66,179,681 "
Joseon Dynasty,2,"$211,756 ","$11,366,781 "
Kindergarten,2,"$36,190 ","$695,972 "
Last Person on Earth,2,$0 ,$0 
Lighthouse,2,"$10,867,104 ","$19,018,655 "
Live Action Segment in Animated Movie,2,"$40,190,014 ","$40,190,014 "
Manhunt,2,"$202,496,692 ","$799,778,768 "
Mass Evacuation,2,"$190,534,394 ","$520,098,680 "
Masseurs / Masseuses,2,"$17,587,000 ","$25,657,577 "
Ming Dynasty,2,"$98,736 ","$45,630,303 "
Misidentified Body,2,"$71,624,879 ","$71,624,879 "
Mistaken for Gay,2,"$196,284 ","$1,066,574 "
Modern Art,2,"$199,274 ","$204,934 "
Moonshine,2,$0 ,"$12,685 "
Motocross,2,"$9,329 ","$9,329 "
Motorcycle Racing,2,"$509,916 ","$758,553 "
Moving,2,"$10,815,378 ","$12,038,198 "
Mutiny,2,"$44,212,592 ","$58,250,151 "
NASCAR,2,"$27,778,642 ","$49,046,121 "
Night Terrors,2,"$958,536 ","$7,490,131 "
NSA,2,"$21,587,519 ","$35,383,879 "
Nunsploitation,2,"$1,647,175 ","$2,110,705 "
One Character,2,"$18,343,250 ","$60,225,191 "
Ottoman Empire,2,"$8,289,712 ","$10,616,841 "
Overnight Success,2,$0 ,"$595,195 "
Paleontologist,2,"$327,482 ","$415,057 "
Paralympic,2,$0 ,$0 
Personal Assistant,2,"$302,949 ","$313,175 "
Pilgrimage,2,"$903,100 ","$1,196,950 "
Plagiarism,2,"$11,494,838 ","$16,369,708 "
Posthumous Adventure,2,"$38,052,832 ","$104,223,315 "
Prep School,2,"$30,012,307 ","$35,360,489 "
Pretending to be your Twin,2,"$1,918,451 ","$96,948,068 "
Prime Suspect,2,"$58,571,513 ","$58,641,106 "
Private Tutor / Instructor,2,"$106,323 ","$106,323 "
Promotion,2,"$55,267,225 ","$71,428,081 "
Qing Dynasty,2,"$306,423 ","$41,346,474 "
Raised by Kidnappers,2,"$91,335 ","$19,639,929 "
Rape Revenge,2,"$67,741,890 ","$69,016,169 "
Remake with a Different Genre,2,"$85,917,405 ","$149,637,848 "
Remote Location,2,"$538,358 ","$1,352,311 "
Renaissance,2,"$25,950 ","$25,950 "
Returning Stolen Items,2,"$248,757,044 ","$636,189,386 "
Roomates from Hell,2,$0 ,$0 
S.W.A.T.,2,$0 ,"$291,611 "
Satanic Panic,2,"$424,284 ","$467,295 "
Science Fraud,2,"$31,309 ","$31,309 "
Secret Admirer,2,"$9,622,632 ","$27,040,207 "
Secret Sequel,2,"$210,224,584 ","$387,041,016 "
Selkie,2,"$1,407,996 ","$9,929,453 "
Set in Albuquerque,2,"$59,891,098 ","$100,642,353 "
"Set in Austin, TX",2,"$443,684 ","$1,745,819 "
Set in Bahamas,2,$0 ,$0 
Set in Bolivia,2,"$7,002,261 ","$9,882,347 "
Set in Cambodia,2,"$15,152 ","$15,152 "
"Set in Cannes, France",2,"$299,974 ","$36,996,438 "
Set in Cincinnati,2,"$4,332,789 ","$6,400,918 "
Set in Dallas,2,"$27,298,285 ","$60,611,845 "
Set in Dominican Republic,2,"$1,081,922 ","$1,143,922 "
Set in Estonia,2,"$104,571 ","$681,878 "
Set in Grand Canyon,2,"$10,753,574 ","$10,904,495 "
Set in Guatemala,2,"$23,116 ","$23,116 "
Set in Himalayas,2,"$3,030,945 ","$54,057,507 "
Set in Humboldt County,2,"$82,357 ","$82,357 "
Set in Istanbul,2,"$2,842,636 ","$4,806,158 "
Set in Latvia,2,"$34,236 ","$34,236 "
"Set in Madrid, Spain",2,"$62,338 ","$2,156,791 "
Set in Monaco,2,"$312,788,639 ","$622,587,371 "
Set in Mongolia,2,"$3,168,664 ","$5,631,241 "
Set in Nashville,2,"$1,635,118 ","$6,826,420 "
Set in North Africa,2,"$40,098,064 ","$119,370,570 "
Set in Nova Scotia,2,"$6,170,998 ","$17,413,896 "
Set in Oceania,2,$0 ,"$43,922 "
Set in Oklahoma,2,$0 ,$0 
Set in Pacific Northwest,2,"$538,358 ","$599,759 "
